ID1,ID2,total_ibd_length,proportion_ibd
AG0145-C_bissau,AG0197-C_bissau,1282522,0.024107246440666065
AG0145-C_bissau,AG0203-C_bissau,1273179,0.02393162839786045
AG0145-C_bissau,AG0226-C_bissau,668830,0.012571830843377879
AG0145-C_bissau,AG0231-C_bissau,691808,0.013003742583460017
AG0145-C_bissau,AG0445-CW_bissau,449988,0.00845831230290197
AG0145-C_bissau,AG0450-CW_bissau,888477,0.016700480768254783
AG0145-C_bissau,AG0454-CW_bissau,4222809,0.07937508848570443
AG0147-C_bissau,AG0085-C_bissau,2914800,0.05478876925717722
AG0147-C_bissau,AG0106-C_bissau,3412758,0.06414876169637218
AG0147-C_bissau,AG0111-C_bissau,1720800,0.032345448791598244
AG0147-C_bissau,AG0120-C_bissau,1001981,0.01883398717204463
AG0147-C_bissau,AG0123-C_bissau,2521965,0.047404747653244456
AG0147-C_bissau,AG0127-C_bissau,458394,0.00861631779019984
AG0147-C_bissau,AG0129-C_bissau,1009003,0.01896597795622327
AG0147-C_bissau,AG0133-C_bissau,1055768,0.01984500800779178
AG0147-C_bissau,AG0138-C_bissau,779763,0.014657010800838576
AG0147-C_bissau,AG0144-C_bissau,1623578,0.030517991084475532
AG0147-C_bissau,AG0148-C_bissau,918536,0.017265492300813274
AG0147-C_bissau,AG0162-C_bissau,818850,0.015391719399697943
AG0147-C_bissau,AG0178-C_bissau,663156,0.012465178079289357
AG0147-C_bissau,AG0179-C_bissau,1720800,0.032345448791598244
AG0147-C_bissau,AG0197-C_bissau,2461647,0.046270965237965735
AG0147-C_bissau,AG0203-C_bissau,1143692,0.02149769352589527
AG0147-C_bissau,AG0214-C_bissau,521787,0.009807900214215291
AG0147-C_bissau,AG0221-C_bissau,2960422,0.05564631462257139
AG0147-C_bissau,AG0226-C_bissau,1783929,0.0335320688734002
AG0147-C_bissau,AG0231-C_bissau,336421,0.006323621703811177
AG0147-C_bissau,AG0450-CW_bissau,980685,0.018433691566822712
AG0147-C_bissau,AG0454-CW_bissau,842700,0.01584002190648526
AG0148-C_bissau,AG0082-C_bissau,5795495,0.10893647532802397
AG0148-C_bissau,AG0108-C_bissau,1430269,0.02688440998239797
AG0148-C_bissau,AG0119-C_bissau,467415,0.008785883279245057
AG0148-C_bissau,AG0123-C_bissau,4640650,0.08722914164035936
AG0148-C_bissau,AG0127-C_bissau,1487607,0.027962178080266787
AG0148-C_bissau,AG0128-C_bissau,1870911,0.0351670478522419
AG0148-C_bissau,AG0133-C_bissau,4672914,0.08783560000845102
AG0148-C_bissau,AG0138-C_bissau,3651035,0.06862759508881502
AG0148-C_bissau,AG0144-C_bissau,1085961,0.020412538304958636
AG0148-C_bissau,AG0152-C_bissau,4071513,0.07653121527535248
AG0148-C_bissau,AG0162-C_bissau,368952,0.006935098804368756
AG0148-C_bissau,AG0169-C_bissau,903581,0.016984386892469276
AG0148-C_bissau,AG0179-C_bissau,2118062,0.03981268361136109
AG0148-C_bissau,AG0183-C_bissau,1059478,0.01991474395329203
AG0148-C_bissau,AG0197-C_bissau,2778029,0.05221791885232152
AG0148-C_bissau,AG0203-C_bissau,1804071,0.033910673028188884
AG0148-C_bissau,AG0204-C_bissau,1999455,0.037583257388194485
AG0148-C_bissau,AG0221-C_bissau,477542,0.008976237974684687
AG0148-C_bissau,AG0226-C_bissau,650537,0.012227981880834465
AG0148-C_bissau,AG0442-CW_bissau,4903370,0.09216742401281908
AG0148-C_bissau,AG0446-CW_bissau,446143,0.008386038796042546
AG0148-C_bissau,AG0450-CW_bissau,1058620,0.01989861634109817
AG0148-C_bissau,AG0454-CW_bissau,402077,0.007557741174906698
AG0152-C_bissau,AG0082-C_bissau,2500322,0.046997929575491926
AG0152-C_bissau,AG0124-C_bissau,2700490,0.05076043759136631
AG0152-C_bissau,AG0127-C_bissau,6194308,0.1164328639082911
AG0152-C_bissau,AG0144-C_bissau,684885,0.012873612677611439
AG0152-C_bissau,AG0178-C_bissau,7778429,0.14620919159610804
AG0152-C_bissau,AG0183-C_bissau,1411105,0.026524189049900185
AG0152-C_bissau,AG0197-C_bissau,1032588,0.019409299324046284
AG0152-C_bissau,AG0203-C_bissau,3588391,0.06745009143115528
AG0152-C_bissau,AG0221-C_bissau,502566,0.00944660786692141
AG0152-C_bissau,AG0442-CW_bissau,430320,0.008088617807996605
AG0152-C_bissau,AG0446-CW_bissau,1191484,0.022396027840544307
AG0152-C_bissau,AG0454-CW_bissau,360186,0.006770326486779756
AG0156-C_bissau,AG0082-C_bissau,1094062,0.020564810783259856
AG0156-C_bissau,AG0111-C_bissau,4234317,0.07959140149401087
AG0156-C_bissau,AG0178-C_bissau,1904621,0.03580068632200293
